Term	Thai
idea_fruitsalad_status_0	ทำสลัดผลไม้
idea_garden_status_0	สร้างสวน
idea_growth_name	ปลูก
idea_growth_status_0	ปลูกเบอร์รี่บุช
idea_growth_status_1	ปลูกต้นแอปเปิ้ล
idea_growth_status_2	แครอทกำลังเติบโต
idea_growth_status_3	หัวหอมกำลังเติบโต
idea_growth_status_4	มันฝรั่งกำลังเติบโต
idea_growth_status_5	เห็ดกำลังเติบโต
idea_house_status_0	สร้างบ้าน
idea_ironweapons_status_0	สร้างดาบ
idea_ironweapons_status_1	ฝึกนักดาบ
idea_lumbercamp_status_0	สร้างค่ายไม้
idea_market_status_0	สร้างตลาด
idea_milkshake_status_0	ทำมิลค์เชค
idea_mine_status_0	สร้างเหมือง
idea_offspring_name	ลูกหลาน
idea_offspring_status_0	สร้างลูกหลาน
idea_offspring_status_1	สร้างลูกสุนัข
idea_omelette_status_0	ทำไข่เจียว
idea_planks_status_0	สร้างไม้กระดาน
idea_quarry_status_0	สร้างเหมืองหิน
idea_sawmill_status_0	สร้างโรงเลื่อย
idea_shed_status_0	สร้างโรงเก็บของ
idea_smelting_status_0	สร้างโรงถลุง
idea_smelting_status_1	ถลุงเหล็ก
idea_stew_status_0	ปรุงสตูว์
idea_stove_status_0	สร้างเตา
idea_temple_status_0	สร้างวัด
idea_warehouse_status_0	สร้างโกดัง
idea_woodenweapons_status_0	สร้างหอก
idea_woodenweapons_status_1	ฝึกอบรมกองทหารอาสา
idea_woodenweapons_status_2	ฝึกอบรมนักสำรวจ
ideagroup_basic	ขั้นพื้นฐาน
ideagroup_building	อาคาร
ideagroup_cooking	ทำอาหาร
ideagroup_military	ทหาร
ideagroup_resources	ทรัพยากร
label_an_idea	ไอเดีย
label_back	กลับ
label_back_to_menu	กลับไปที่เมนู
label_buy_packs_to_find_idea	ซื้อแพ็คเพื่อค้นหาไอเดียนี้
label_cant_be_sold	ขายไม่ได้
label_card_not_found	ยังไม่พบบัตร
label_cardopedia	คาร์ดโอพีเดีย
label_cards_found	[found]/[total]พบแล้ว
label_cards_infobox	จำนวน์ดสูงสุดในปัจจุบันของคุณคือ [max_card_count] คุณมี [card_count] [cardicon] (ไม่รวมเหรียญ)
label_cards_infobox_warning	คุณมี [cardicon] มากเกินไป โปรดขายให้น้อยกว่าข้อจำกัด
label_clear_save	ล้างบันทึก
label_clear_save_confirm	คุณแน่ใจหรือไม่ว่าต้องล้างบันทึกของคุณ
label_coin_infobox_text	จำนวนเหรียญทั้งหมดที่คุณมี
label_coin_infobox_title	เหรียญ
label_combat_speed	ความเร็วในการโจมตี:
label_complete_more_quests	<one>ทำภารกิจให้สำเร็จอีก 1 ภารกิจเพื่อปลดล็อคแพ็คใหม่!<other>ทำภารกิจให้สำเร็จอีก [remaining] เพื่อปลดล็อคแพ็คใหม่!
label_complete_more_quests_for_pack	<one>ทำภารกิจให้สำเร็จอีก 1 ภารกิจเพื่อปลดล็อคแพ็กนี้!<other>ทำภารกิจอีก [remaining] ให้สำเร็จเพื่อปลดล็อคแพ็กนี้!
label_completed_main_quest	คุณทำภารกิจหลักสำเร็จแล้ว!
label_continue	ดำเนินต่อ
label_continue_run	ต่อไป (จันทราที่ [moon])
label_credits	เครดิต
label_damage	ความเสียหาย:
label_drag_coins_to_buy_pack	ลาก [cost][goldicon] ที่นี่เพื่อซื้อแพ็กนี้
label_drop_to_sell	วางขายในราคา [value]
label_eating	กิน..
label_end_of_moon	จบคืนที่ [moon]
label_everyone_fed	ทุกคนได้รับอาหารแล้ว!
label_everyone_starved	ทุกคนอดอยากแทบตาย!
label_feed_villagers	เลี้ยงชาวบ้าน
label_foil	(วิบวับ)
label_fullscreen	เต็มจอ: [on_off]
label_game_options	ตัวเลือกเกม
label_game_over	จบเกม
label_goblet_brought_to_temple	แก้วน้ำถูกนำมาที่พระวิหาร
label_hit_chance	โอกาสตีโดน:
label_idea_fullname	ไอเดีย: [name]
label_ideas	ไอเดีย
label_ideas_found	[found]/[total] ไอเดียที่พบแล้ว
label_keep_playing	เล่นต่อไปเพื่อรวบรวมการ์ดทุกใบ!
label_languages_title	ภาษา
label_may_contain	อาจมี:
label_moon_length	ความยาวของวัน
label_moon_length_long	ยาว
label_moon_length_normal	ปกติ
label_moon_length_short	สั้น
label_moon_length_tooltip	ความยาวของของวัน - ยิ่งยาวยิ่งง่าย
label_new	ใหม่!
label_new_cards_found	<one>พบการ์ดใหม่ 1 ใบ<other> [count] ใบได้ถูกพบ
label_new_pack_unlocked	ปลดล็อคแพ็คใหม่แล้ว!
label_new_run_confirm	คุณแน่ใจหรือไม่ว่าต้องเริ่มใหม่ คุณจะสูญเสียความคืบหน้าปัจจุบันของคุณ!
label_nice	ดี!
label_no	ไม่
label_off	ปิด
label_okay	ตกลง
label_on	บน
label_options	ตัวเลือก
label_pack_now_available	[pack] แพ็คมีจำหน่ายแล้ว!
label_paused	หยุดชั่วคราว
label_peaceful_mode	โหมดสันติ
label_peaceful_mode_tooltip	ไม่มีศัตรูในโหมดสันติ
label_quest	ภารกิจ
label_quest_completed	ภารกิจเสร็จสิ้น!
label_quest_not_possible_in_peaceful	ไม่สามารถทำได้ในโหมดสันติ
label_quests	เควส
label_quests_completed	<one> 1 ภารกิจเสร็จสมบูรณ์<other>[count] ภารกิจเสร็จสมบูรณ์
label_quit	ล้มเลิก
label_resolution	ความละเอียด:[width]x[height]
label_resolutions_title	มติ
label_seconds_format	[seconds]วิ
label_seconds_left_format	เหลืออีก [seconds]วิ
label_select_language	เลือกภาษา
label_sell	ขาย
label_sell_cards_to_continue	ขายการ์ดเพื่อดำเนินต่อ
label_sell_x_cards	<one>ขาย 1 ใบ<other>ขาย [count] ใบ
label_sellbox_title	ขาย
label_sfx	เสียงเอฟเฟค
label_stack_of_cards	สแต็คการ์ด
label_start_new_moon	เริ่มวันใหม่
label_start_new_run	เริ่มใหม่
label_start_of_moon	เริ่มจันทราที่ [moon]
label_start_run	เริ่ม
label_start_the_ritual	เริ่มพิธีกรรม
label_strange_portal_appeared	ประตูมิติประหลาดก็ปรากฏขึ้น
label_time_to_eat	ถึงเวลากิน
label_timetext	จันทราที่ [moon]
label_timetext_peaceful	จันทราที่ [moon] - สงบ
label_toggle_panel_title	สลับแผง
label_too_many_cards	<one>คุณมีไพ่ 1 ใบมากเกินไป!<other>คุณมีไพ่ [count], การ์ดมากเกินไป!
label_travelling_cart_appeared	รถเข็นเดินทางปรากฏขึ้น
label_uh_oh	โอ้ แย่ละ
label_undiscovered_cards	<one>การ์ดที่ยังไม่ได้ค้นพบ 1 ใบ<other>[จำนวน]การ์ดที่ยังไม่ได้ค้นพบ
label_well_done	ทำได้ดี!
label_yes	ใช่
label_you_killed_the_demon	คุณฆ่าปีศาจ!
label_you_reached_moon	คุณถึงจันทราที่ [moon]
pack_a_new_world_text	โลกใหม่
pack_cuisine_text	อาหารที่อยากรู้อยากเห็น
pack_explorers_text	นักสำรวจ
pack_farming_text	เก็บเกี่ยวและหว่าน
pack_humble_beginnings_text	จุดเริ่มต้นที่ต่ำต้อย
pack_logic_reason_text	ตรรกะและเหตุผล
pack_order_structure_text	ลำดับและโครงสร้าง
pack_seeking_wisdom_text	แสวงหาปัญญา
quest_3_villagers_text	รับชาวบ้าน 3 คน
quest_bring_goblet_text	นำถ้วยไปที่พระวิหาร
quest_build_3_houses_text	มีบ้าน 3 หลัง
quest_build_farm_text	สร้างฟาร์ม
quest_build_house_text	สร้างบ้าน
quest_build_temple_text	สร้างวัด
quest_buy_booster_text	ซื้อแพ็ก Humble Beginnings
quest_buy_from_travelling_cart_text	ซื้อของจากรถเข็นเดินทาง
quest_carve_stick_text	ทำแท่งไม้
quest_cook_frittata_text	ปรุง Frittata
quest_cook_meat_text	ปรุงเนื้อดิบ
quest_cook_omelette_text	ทำออมเล็ต
quest_create_brickyard_text	สร้างโรงอิฐ
quest_create_lumbercamp_text	สร้างค่ายไม้
quest_create_offspring_text	สร้างลูกหลาน
quest_create_quarry_text	สร้างเหมืองหิน
quest_create_shed_text	สร้างโรงเก็บของ
quest_explore_forest_text	สำรวจป่า
quest_explore_mountain_text	สำรวจภูเขา
quest_find_catacombs_text	ค้นหาสุสานใต้ดิน
quest_find_goblet_text	ค้นหาสิ่งประดิษฐ์ลึกลับ
quest_find_graveyard_text	ค้นหาสุสาน
quest_get_a_dog_text	รับสุนัข
quest_get_iron_bar_text	รับแท่งเหล็ก
quest_have_gold_text	มี [count] เหรียญ
quest_have_10_ideas_text	มี 10 ไอเดีย
quest_have_10_stone_text	มีหิน 10 ก้อน
quest_have_10_wood_text	มี 10 ไม้
quest_have_food_text	มี [count] อาหาร
quest_have_5_ideas_text	มี 5 ไอเดีย
quest_kill_a_rat_text	ฆ่าหนู
quest_kill_a_skeleton_text	ฆ่าโครงกระดูก
quest_kill_demon_text	ฆ่าปีศาจ
quest_open_starter_pack_text	เปิดบูสเตอร์แพ็ค
quest_open_treasure_chest_text	เปิดหีบสมบัติ
quest_pick_berrybush_text	ลากชาวบ้านไปบน Berry Bush
quest_reach_month_text	ถึงจันทราที่ [count]
quest_second_villager_text	รับชาวบ้านคนที่สอง
quest_sell_at_market_text	ขายบัตรที่ตลาด
quest_sell_card_text	ขายบัตร
quest_start_campfire_text	จุดแคมป์ไฟ
quest_train_explorer_text	ฝึกนักสำรวจ
quest_train_militia_text	ฝึกทหารอาสา
quest_unlock_all_packs_text	ปลดล็อคแพ็คทั้งหมด
new_creating_graveyard	สร้างสุสาน
new_selling_card	ขาย [card]
new_portal_shaking	พอร์ทัลกำลังสั่น
new_growing_up	โตขึ้น
card_aquarium_description	สามารถเก็บปลาได้ 5 ตัว
card_aquarium_name	พิพิธภัณฑ์สัตว์น้ำ
card_banana_description	ผลไม้สีเหลืองที่ทุกคนชื่นชอบ
card_banana_name	กล้วย
card_banana_tree_description	ทำจากกล้วย
card_banana_tree_name	ต้นกล้วย
card_banana_tree_status	ทุบต้นกล้วย
card_boat_status	ล่องเรือออก
card_bottle_of_rum_description	ระวัง: ทำให้ชาวบ้านเมา!
card_bottle_of_rum_name	เหล้ารัมขวดหนึ่ง
card_bottle_of_water_description	ขวดใสที่เต็มไปด้วยของเหลวใส
card_bottle_of_water_name	ขวดน้ำ
card_captain_description	ผู้เชี่ยวชาญด้านเดินทางทางเรือ แล่นเรือเร็วขึ้น
card_captain_name	กัปตัน
card_cathedral_description	สถานที่สักะที่สำคัญ มันต้องของที่ระลึก
card_cathedral_name	อาสนวิหาร
card_cave_description	โจรสลัดเคยเก็บแผนที่สมบัติไว้ในนั้น..
card_cave_name	ถ้ำ
card_cave_status	สำรวจถ้ำ
card_ceviche_description	ปลาเปรี้ยว ดูไม่น่ากินซะเลย
card_ceviche_name	เซวิเช่
card_charcoal_description	ทำหน้าที่เป็นยาแก้พิษงู
card_charcoal_name	ถ่าน
card_chili_pepper_description	ดีและเผ็ด
card_chili_pepper_name	พริก
card_coconut_description	นี่มันผลไม้นะไม่ใช่ถั่ว!
card_coconut_name	มะพร้าว
card_coconut_piece_description	เขตร้อน!
card_coconut_piece_name	ชิ้นมะพร้าว
card_coconut_tree_description	ทำจากมะพร้าว
card_coconut_tree_name	ต้นมะพร้าว
card_coconut_tree_status	ตัดต้นมะพร้าว
card_cod_name	ปลาค็อด
card_coin_chest_description	หีบที่สามารถเก็บเหรียญได้
card_coin_chest_name	หีบเหรียญ
card_composter_description	เปลี่ยนอาหาร 5 ชนิดให้เป็นดิน
card_composter_name	นักแต่งเพลง
card_cooked_crab_meat_description	โอ้ แฟนซี
card_cooked_crab_meat_name	ปูสุก
card_cooked_fish_description	หอมๆ ย่างสุกๆ
card_cooked_fish_name	ปลาย่าง
card_cotton_description	ขนจากธรรมชาติ
card_cotton_name	ฝ้าย
card_cotton_plant_description	สามารถเก็บเกี่ยวฝ้ายได้
card_cotton_plant_name	โรงงานฝ้าย
card_cotton_plant_status	เก็บเกี่ยวต้นฝ้าย
card_crab_description	ทำไมทุกอย่างถึงพัฒนาเป็นปู?
card_crab_name	ปู
card_demon_lord_description	บอสคนสุดท้าย แบบ สุดท้าย
card_demon_lord_name	จอมมาร
card_distillery_description	ใช้สำหรับทำเหล้า
card_distillery_name	โรงกลั่นสุรา
card_driftwood_description	กองไม้ที่ถูกพัดเกยฝั่ง
card_driftwood_name	ไม้ระแนง
card_driftwood_status	ควานหาในกองไม้ระแนง
card_eel_description	งูทะเลไฟฟ้า
card_eel_name	ปลาไหล
card_empty_bottle_description	ทำจากแก้ว เติมได้!
card_empty_bottle_name	ขวดเปล่า
card_fabric_description	ไฟเบอร์. ด้วยกัน. แข็งแกร่ง.
card_fabric_name	ผ้า
card_fish_trap_description	ต้องอาหารประเภทหนึ่งเป็นเหยื่อ
card_fish_trap_name	กับดักปลา
card_fish_trap_status	จับปลา
card_fisher_description	ผู้เชี่ยวชาญด้านตกปลา ปลาหวาดกลัวเขา
card_fisher_name	นักตกปลลา
card_fishing_rod_description	มอบให้ชาวบ้านเพื่อเปลี่ยนพวกเขาให้เป็นชาวประมง
card_fishing_rod_name	เบ็ดตกปลา
card_fishing_spot_description	แหล่งน้ำที่เต็มไปด้วยปลา
card_fishing_spot_name	จุดตกปลา
card_fishing_spot_status	ตกปลา
card_friendly_pirate_description	มันได้เข้าร่วมข้างคุณแล้ว
card_friendly_pirate_name	โจรสลัดที่เป็นมิตร
card_frigate_description	สามารถใส่การ์ดได้ 25 ใบ ต้องชาวบ้านเพื่อเริ่มเดินเรือ ไม่สามารถบรรทุกอาคารได้
card_frigate_name	เรือรบ
card_glass_description	ทรัพยากรที่โปร่งใส
card_glass_name	กระจก
card_gold_bar_description	เป็นวัสดุที่เงางามและมีคุณค่ามาก
card_gold_bar_name	ทองคำแท่ง
card_gold_deposit_description	มันมีแร่ทองคำ
card_gold_deposit_name	สินแร่ทองคำ
card_gold_deposit_status	ขุดเงินสินแร่ทองคำ
card_gold_mine_description	ทรัพยากรแร่ทองคำไม่จำกัด
card_gold_mine_name	เหมืองทองคำ
card_gold_mine_status	ทำงานที่เหมืองทอง
card_gold_ore_description	สามารถเปลี่ยนเป็นทองคำแท่งได้
card_gold_ore_name	แร่ทองคำ
card_goop_description	เปื้อน ตะกอน ขยะ: มันคืออาหารบูด
card_goop_name	กู๊ป
card_greenhouse_description	อาคารไฮเทคสำหรับปลูกอาหาร ปลูกพืชทดแทนโดยอัตโนมัติ
card_greenhouse_name	เรือนกระจก
card_island_relic_description	นำไปไว้ที่มหาวิหาร
card_island_relic_name	ของระลึกที่เกาะ
card_jungle_description	ป่าที่ขึ้นชื่อเรื่องหนังสือ
card_jungle_name	ป่า
card_jungle_status	สำรวจป่า
card_kraken_description	โมโหเพราะคุณเอาของระลึกไป
card_kraken_name	คราเคน
card_lime_description	กลมๆและเปรี้ยว
card_lime_name	มะนาว
card_mackerel_name	ปลาแมคเคอเรล
card_mess_hall_description	ชาวบ้านจะให้ความสำคัญกับรับประทานอาหารที่อยู่ด้านบนเมสฮอลล์
card_mess_hall_name	เมสฮอลล์
card_message_in_a_bottle_description	ดูเหมือนว่าจะมีไอเดียอยู่ในนั้น
card_message_in_a_bottle_name	ข้อความในขวด
card_message_in_a_bottle_status	เปิดขวด
card_mine_description	ทรัพยากรแร่เหล็กไม่จำกัด
card_mine_name	เหมืองเหล็ก
card_mine_status	ทำงานที่เหมืองเหล็ก
card_momma_crab_description	บางทีคุณไม่ควรฆ่าปูเยอะไปนะ?
card_momma_crab_name	แม่ปู
card_monkey_description	อยากได้กล้วยจริงๆ
card_monkey_name	ลิง
card_parrot_description	พูดเหมือนคน บินได้เหมือนนก ทำให้โจรสลัดมีความสุข
card_parrot_name	นกแก้ว
card_pirate_boat_description	เรือที่เต็มไปด้วยโจรสลัด
card_pirate_boat_name	เรือโจรสลัด
card_pirate_boat_status	เราจะปล่อยให้คุณอยู่คนเดียวสำหรับ [count] เหรียญ..
card_pirate_description	กะลาสีเรือผู้โกรธเกรี้ยว
card_pirate_name	โจรสลัด
card_raw_crab_meat_description	ควรปรุงให้สุกก่อนบริโภค
card_raw_crab_meat_name	เนื้อปูดิบ
card_raw_fish_description	มันลื่น.
card_raw_fish_name	ปลาดิบ
card_rope_description	ยาวและมีเส้นใย
card_rope_name	เชือก
card_rowboat_description	สามารถพกพา์ดได้ 1 ใบ ต้องชาวบ้านเพื่อเริ่มเดินเรือ ไม่สามารถบรรทุกอาคารได้
card_rowboat_name	เรือพาย
card_sacred_chest_description	จำเป็นต้องมีกุญแจศักดิ์สิทธิ์จึงจะสามารถเปิดได้
card_sacred_chest_name	หีบศักดิ์สิทธิ์
card_sacred_key_description	หลอมด้วยแก้วและทอง ใช้สำหรับเปิดหีบศักดิ์สิทธิ์
card_sacred_key_name	กุญแจศักดิ์สิทธิ์
card_sail_description	ใช้สำหรับทำเรือ
card_sail_name	อู่เรือ
card_sand_description	ส่วนผสมหลักเพื่อชายหาดที่สวยงาม
card_sand_name	ทราย
card_sand_quarry_description	ทรัพยากรทรายไม่จำกัด
card_sand_quarry_name	เหมืองทราย
card_sand_quarry_status	ทำเหมืองแร่ที่เหมืองทราย
card_sandstone_description	ทางเลือกแทนหิน สามารถใช้กับอะไรก็ได้ที่หินจำเป็น
card_sandstone_name	หินทราย
card_seafood_stew_description	สตูว์สูตรชาวเกาะ อร่อย
card_seafood_stew_name	สตูว์ซีฟู้ด
card_seagull_description	นกขี้โมโห
card_seagull_name	นกนางนวล
card_seaweed_description	สลัดทะเล
card_seaweed_name	สาหร่ายทะเล
card_shark_description	ปลาตัวใหญ่ขี้วีนชนิดหนึ่ง
card_shark_name	ฉลาม
card_sheep_description	ปุกปุย!
card_sheep_name	แกะ
card_shell_chest_description	หีบที่สามารถเก็บเปลือกหอยได้
card_shell_chest_name	เปลือกหอย
card_shell_description	สกุลเงินหลักบนเกาะ
card_shell_name	เปลือก
card_sloop_description	สามารถใส่์ดได้ 10 ใบ ต้องชาวบ้านเพื่อเริ่มเดินเรือ ไม่สามารถบรรทุกอาคารได้
card_sloop_name	เรือใบเสากระโดงเดียว
card_smelter_description	แปรรูปวัสดุต่างๆ โดยถลุงมัน
card_smelter_name	โรงถลุง
card_smelter_status	ถลุง
card_snake_description	สิ่งมีชีวิตเลื้อยและมีพิษ
card_snake_name	งู
card_sugar_cane_description	มันคือหญ้ารสลูกกวาด
card_sugar_cane_name	อ้อย
card_sugar_cane_status	เก็บเกี่ยวอ้อย
card_sugar_description	หวานมาก!
card_sugar_name	น้ำตาลอ้อย
card_sushi_description	ของกินเลี้ยงแสนอร่อย
card_sushi_name	ซูชิ
card_tamago_sushi_description	ซูชิรสไข่
card_tamago_sushi_name	ทาโกะซูชิ
card_tentacle_description	กริ๊ง กริ๊ง กริ๊ง
card_tentacle_name	หนวด
card_tiger_description	เป็นแมวที่แข็งแกร่งมาก
card_tiger_name	เสือ
